spotify_id,name,artists,popularity,is_explicit,duration,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
7F5oktn5YOsR9eR5YsFtqb,New Year’s Day,Taylor Swift,76,FALSE,235.466,reputation,2017/11/10,0.661,0.151,0,-12.864,1,0.0354,0.921,0,0.13,0.23,94.922,4
3EaJDYHA0KnX88JvDhL9oa,Dark Red,Steve Lacy,90,FALSE,173.104,Dark Red,2017/2/20,0.603,0.784,6,-4.023,1,0.062,0.446,0.00000832,0.119,0.769,172.041,4
0ntQJM78wzOLVeCUAW7Y45,Sex on Fire,Kings of Leon,85,FALSE,203.346,Only By The Night,2008/9/23,0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,4
3Qj9Fy8BPbWmICTiNkuqB7,珊瑚海,"Jay Chou, Lara Liang",61,FALSE,256.333,11月的蕭邦,2005/11/11,0.459,0.567,8,-5.528,1,0.0271,0.75,0,0.136,0.156,145.818,4
2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park,87,FALSE,187.52,Meteora,2003/9/16,0.488,0.87,6,-4.185,0,0.0421,0.00353,0,0.484,0.211,110.072,4
4xNDbq22jC2Vdf6QV2uArL,當你,Cyndi Wang,64,FALSE,203.2,Begin,2003/2/1,0.638,0.646,4,-4.615,1,0.0315,0.661,0,0.105,0.208,135.98,4
7xrEnNo99wrmIs8ZK3RZMK,WE PRAY,"Coldplay, Little Simz, Burna Boy, Elyanna, TINI",63,FALSE,233.406,Moon Music,2024/10/4,0.745,0.52,5,-8.048,0,0.0559,0.0674,0.0000506,0.0746,0.673,135.956,4
2022n4pxaEaDC2YvzVl1w7,Pleasure Shop,KEY,52,FALSE,182.28,Pleasure Shop - The 3rd Mini Album,2024/9/23,0.723,0.811,6,-4.039,0,0.0983,0.0334,0,0.361,0.326,121.01,4
0oDDoTLcHPMnHJNmB2Ts40,COUNTER,DAY6,45,FALSE,178.154,Band Aid,2024/9/2,0.663,0.738,0,-3.481,1,0.0706,0.116,0,0.18,0.864,147.967,4
5hfKDfqthxHt6xsgCjimuO,Chasing Lightning,LE SSERAFIM,49,FALSE,205.09,CRAZY,2024/8/30,0.708,0.925,11,-3.849,0,0.204,0.0423,0.000034,0.0759,0.549,133.981,4
3RkSwrsIadAvqVtMp5yhaB,XO (Only If You Say Yes),ENHYPEN,71,FALSE,188.332,ROMANCE : UNTOLD,2024/7/12,0.662,0.761,8,-6.885,1,0.0532,0.112,0,0.21,0.471,96.95,4
0lOQaZwX9AkAiSvObh4G70,All to Myself,"Future, Metro Boomin",38,TRUE,254.32,WE STILL DON'T TRUST YOU,2024/4/12,0.727,0.544,4,-7.249,0,0.0457,0.0693,0.0000298,0.301,0.182,118.005,4
4Dx4e0X5dR6TW85dtFU42x,Red Leather,"Future, Metro Boomin, J. Cole",69,TRUE,414.893,WE STILL DON'T TRUST YOU,2024/4/12,0.63,0.64,6,-4.794,1,0.39,0.53,0.00283,0.104,0.561,111.846,5
0bMWoFtQIrnW5YyNMc4aKQ,I’ll See You There Tomorrow,TOMORROW X TOGETHER,77,FALSE,196.694,minisode 3: TOMORROW,2024/4/1,0.748,0.827,4,-5.242,1,0.0512,0.146,0,0.265,0.645,121.031,4
1xwvjqcwflD2NEqRCNcCo2,WTFYM,"Future, Metro Boomin",42,TRUE,292.6,WE DON'T TRUST YOU,2024/3/22,0.81,0.587,5,-6.336,0,0.287,0.373,0,0.116,0.628,147.925,4
7omJfT9s6V2IpQNBYyq5C8,MY HOUSE,Beyoncé,40,TRUE,262.941,MY HOUSE,2023/12/1,0.494,0.849,0,-6.438,0,0.343,0.0748,0.00152,0.791,0.512,181.428,5
